standardized,pEC50
CCCCC1=NC(O)=C(S(=O)(=O)C2=CC=CC=C2)C(=O)N1C1=C(OC)C=CC=C1OC,8.301029996
CCCCC1=NC(O)=C(S(=O)(=O)C2=CC=C(Cl)C=C2)C(=O)N1C1=C(OC)C=CC=C1OC,8.301029996
CCCCC1=NC(O)=C(S(=O)(=O)C2=CC=C(F)C=C2)C(=O)N1C1=C(OC)C=CC=C1OC,8.301029996
CCCCC1=NC(O)=C(S(=O)(=O)CC2=CC=CC=C2)C(=O)N1C1=C(OC)C=CC=C1OC,7.259637311
CCCCC1=NC(O)=C(S(=O)(=O)C2=NC=C(C(F)(F)F)C=C2)C(=O)N1C1=C(OC)C=CC=C1OC,8.301029996
CCCCC1=NC(O)=C(S(=O)(=O)C2=CC=C(C3=CC=CC=C3)C=C2)C(=O)N1C1=C(OC)C=CC=C1OC,8.301029996
CCCCC1=NC(O)=C(S(=O)(=O)C2=CC=C(C3=CN(C)N=C3C(F)(F)F)C=C2)C(=O)N1C1=C(OC)C=CC=C1OC,8.301029996
CCCCC1=NC(O)=C(S(=O)(=O)C2=CC=C(C3=CN(C(C)C)N=C3)C=C2)C(=O)N1C1=C(OC)C=CC=C1OC,8.301029996
COC1=CC=CC(OC)=C1N1C(CCC(C)C)=NC(O)=C(S(=O)(=O)C2=CC=C(C3=CN=C(F)C=C3)C=C2)C1=O,8.301029996
CCCCC1=NC(O)=C(S(=O)(=O)C2=CC=C(C3=CN=C(F)C=C3)C=C2)C(=O)N1C1=C(OC)C=CC=C1OC,8.301029996
CCCCC1=NC(O)=C(S(=O)(=O)C2=CC=C(C3=CN=C(C#N)C=C3)C=C2)C(=O)N1C1=C(OC)C=CC=C1OC,8.301029996
